year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-2.04,-5.44,-0.1,4.33,7.29,10.99,16.47,15.58,9.41,4.38,0.55,0.37
1992,0.19,-0.27,0.86,1.67,11.17,16.59,14.21,12.75,10.22,0.79,-1.32,-0.14
1993,-1.14,-1.13,0.3,4.24,10.22,11,14.29,12.66,8.16,2.78,-1.81,-4.48
1994,-5.48,-6.49,-0.65,4.29,8.19,11.29,18.03,15.28,9.4,3.78,0.32,-0.16
1995,-2.29,-1.5,-0.25,2.28,7.64,12.81,14.71,14.93,9.98,6.05,-1.58,-5.88
1996,-3.87,-5.83,-0.58,3.69,6.39,12.1,13.95,17.29,9.52,5.49,-2.19,-4.47
1997,-2.26,-1.98,0.42,1.81,7.05,14.6,18.09,18.15,10.88,3.32,-1.16,-2.24
1998,-2.54,-2.05,-1.28,2.22,8.48,11.67,14.65,12.97,10.3,3.68,-3.22,-2.31
1999,-4.49,-3.58,-0.88,4.38,7.82,13.47,15.55,14.24,12.35,5.09,2.86,-4.31
2000,-0.87,-1.34,-0.03,3.91,10.13,11.68,14.61,13.79,10.59,7.12,2.16,-2
2001,-2.49,-5.22,-2.36,2.84,8.4,13.13,15.71,14.68,10.18,6.05,0.13,-3.97
2002,-2.81,-1.56,0.52,5.48,11.46,15.59,16.48,17.92,11.13,1.88,-3.18,-5.4
2003,-5.59,-1.86,1.26,4.77,9.02,14,18.63,15.62,10.91,3.67,0.97,-1.48
2004,-4.81,-2.47,0.89,6.03,9.68,12.7,15.9,16.37,10.64,4.78,-0.31,-0.04
2005,-1.12,-2.85,-0.68,5.36,7.67,13.15,17.31,14.6,10.9,6.81,2.04,-2.62
2006,-2.77,-3.3,-3.28,3.71,10.09,14.09,17.67,17.12,12.03,5.3,1.64,1.51
2007,-2.11,-5.39,2.85,5.34,8.49,15.18,15.58,15.08,9.29,6.06,-0.04,-0.4
2008,-1.33,-0.34,-0.8,4.31,9.8,14,17.08,14.08,10.18,5.23,0.46,-1.54
2009,-2.86,-5.14,0.01,5.66,10.68,13.43,15.84,16.05,11.39,3.46,1.3,-4.22
2010,-7.52,-7.23,-1.14,4.32,8.83,12.45,16.4,14.49,10.54,5.11,-4.02,-7.23
2011,-3.48,-5.47,0.32,6.86,9.63,14.62,16.07,15.09,11.53,6.59,3.42,-0.13
2012,-3.53,-3.09,2.67,2.81,8.87,11.95,14.55,14.71,9.73,3.78,1.17,-6.01
2013,-4.13,-3.62,-2.24,3.26,11.78,14.29,16.51,16.02,11.58,5.7,1.21,0.71
2014,-4.79,-0.01,2.05,5.25,9.56,13.92,18.71,15.76,11.73,6.24,1.4,-1.63
2015,-2.68,-1.22,2.2,4.42,7.89,11.77,14.27,16.7,11.55,6.01,2,0.77
2016,-5.97,-1.85,1.08,3.82,11.12,13.92,16.25,14.34,12.25,4.83,-0.77,0.51
2017,-1.56,-2.45,0.79,3.07,8.38,13.23,15.41,14.2,10.87,5.51,0,-2.11
2018,-3.23,-4.87,-2.8,4.72,12.97,13.72,19.1,15.25,11.15,5.4,2,-1.55
2019,-4.29,-1.42,0.14,6.75,8.29,14.12,16.03,15.42,10.11,3.43,-2.07,-0.43
2020,0.07,-0.53,0.81,3.92,8.02,17.12,14.77,15.86,11.12,5.72,3.15,-0.16
2021,-5.56,-4.42,1.13,3.57,8.35,15.54,17.72,14.71,10.66,6.17,0.39,-3.7
