year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,15.2,15.14,13.68,10.21,7.96,4.88,4.5,7.06,8.44,9.73,10.33,13.05
1992,15.12,14.63,11.99,8.89,6.29,4.88,5.41,5.18,6.45,8.9,12.18,12.89
1993,14.01,13.97,12.37,9.75,8.08,6.71,5.24,5.38,6.89,10.4,10.74,12.82
1994,15.74,15.77,12.66,10.96,8.45,5.14,4.66,6.18,7.08,9,11.63,13.9
1995,15.09,15.98,13.9,12.39,8.63,5.66,4.09,5.75,7.97,9.58,11.18,14.95
1996,15.89,15.72,13,11.88,7.86,5.15,4.86,5.53,9.29,10.42,11.02,13.43
1997,14.08,15.65,13.04,10.31,8.87,5.77,4.73,5.95,7.4,10.07,11.91,13.59
1998,15.83,17.72,15.12,11.6,8.76,6.32,6.72,5.99,8.73,11.16,11.98,14.41
1999,16.76,16.35,15.47,11.34,9.68,6.43,5.71,6.15,8.45,11,12.49,13.15
2000,14.73,15.33,13.34,11.44,8.95,6.63,6.63,6.15,8.32,10.34,10.24,14.88
2001,14.11,15.8,13.76,11.11,8.82,5.9,4.31,6.81,8.92,11.33,12.29,15
2002,15.41,14.59,14.16,10.88,8.65,7.19,5.42,6.6,8.81,9,11.09,13.89
2003,14.85,14.87,14.6,10.85,8.94,7.52,4.42,6.2,8.25,9.54,11.18,14.07
2004,16,14.48,12.42,9.74,8.65,6.85,4.47,5.11,7.29,9.68,12.06,11.6
2005,15.26,16.73,14.15,10.55,8.89,5.49,6.22,7,8.81,9.98,11.97,15.7
2006,15.15,15.37,12.54,12.45,8.26,4.69,5.31,6.04,9.01,9.93,11.7,12.06
2007,15.09,15.24,14.64,10.57,9.68,5.43,5.33,6.52,8.38,9.68,11.39,14.53
2008,16.22,15.83,14.27,11.53,7.15,6.4,5.55,5.83,8.64,9.72,11.93,14.22
2009,15.94,15.48,13.33,11.3,6.78,5.01,4.67,7.55,8.25,8.71,11.47,13.57
2010,15.21,16.26,13.92,11.85,8.57,5.97,5.03,7.05,8.52,9.79,12.7,15.41
2011,15.81,16.02,13.87,10.87,10.09,6.8,5.19,5.75,7.46,10.5,11.68,14.48
2012,14.88,15.05,12.92,11.68,7.86,5.34,5.79,7.12,8.59,9.71,10.97,14.81
2013,15.35,15.18,14.44,12.14,8.54,6.22,5.85,7.7,8.63,10.42,13,14.61
2014,14.22,15.39,13.36,12.35,8.58,7.69,5.18,6.17,8.52,9.83,11.08,14.5
2015,16.26,15.15,14.43,11.7,8.33,6.19,4.66,5.95,7.4,10.23,11.61,13.58
2016,15.92,17.54,14.95,11.59,10.13,7.17,5.61,5.75,9.05,10.73,12.31,13.3
2017,14.27,15.44,14.57,12.05,8.29,6.16,5.34,7.54,8.65,10.83,12.73,15.6
2018,17.48,16.72,15,11.1,8.78,6.07,5.92,6.76,8.09,10.01,12.27,15.31
2019,16.42,15.71,15.29,11.09,9.57,5.82,6.52,6.16,8.06,10.01,12.82,14.14
2020,15.43,16.19,13.24,10.95,8.57,7.46,5.81,7.22,8.45,10.91,12.98,13.96
2021,15.32,15.4,14.04,11.53,8.78,7.8,6.19,6.88,8.14,11.17,13.58,16.17
