year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,8.51,8.31,11.76,12.68,16.68,20.51,23.29,24.23,21.79,14.8,11.85,10.03
1992,7.63,9.78,12.59,14.14,18.14,17.5,23.19,23.26,20.02,14.56,13.1,10.64
1993,8.62,9.82,11.8,12.65,14.93,19.89,23.04,22.45,18.59,13.84,11.26,10.11
1994,8.84,9.51,13.78,12.84,16,20.74,22.89,22.79,19.14,17.06,13.72,10.8
1995,9.73,10.97,12.6,14.79,17.81,19.89,22.97,23.21,18.68,18.42,14.12,11.25
1996,9.85,8.64,11.63,14.27,15.76,21.6,22.89,21.29,19.08,16.43,12.47,10.36
1997,8.72,11.56,14.38,16.26,16.46,18.62,21.54,22.5,21.7,18.61,13.16,10.54
1998,10.28,11.9,13.96,12.45,15.9,20.32,22.71,23.74,20.48,16.16,12.71,8.9
1999,8.95,9.41,12.1,14.31,17.11,20.43,23.16,22.61,20.07,16.52,11.53,9.86
2000,7.52,11.93,13.07,11.96,16.88,21.33,21.9,22.57,20.79,15.92,11.61,11.18
2001,10.23,10.87,13.49,14.19,16.42,21.4,21.75,22.72,20.24,17.56,10.94,8.11
2002,10.29,10.94,12.54,13.76,15.46,19.87,21.72,21.35,19.44,16.96,12.62,11.56
2003,9.09,9.36,13.1,13.89,17.74,22.07,22.67,24.45,21.49,15.95,12.73,9.83
2004,10.41,10.09,11.34,13.23,15.69,22.4,23.22,22.56,21.12,16.77,11.49,9.51
2005,8.15,7.77,11.95,14.27,17.77,22.37,23.04,23.33,20.62,17.33,11.59,9.62
2006,8.09,8.81,12.33,14.77,18.19,21.14,24.1,23.03,21.67,18.08,14.49,9.94
2007,9.15,11.37,11.91,13.99,16.51,19.32,22.27,21.94,20.68,17.03,12.36,9.68
2008,10.67,12.01,12.11,14.54,15.49,20.89,22.36,22.65,19.92,16.11,10.83,9.02
2009,8.66,9.85,13.21,12.94,17.51,21.36,22.66,23.9,21.47,18.72,13.77,10.07
2010,9.07,9.41,11.31,14.82,16.31,20.03,23.99,24.26,21.08,16.44,11.87,9.84
2011,9.45,10.08,11.55,15.96,18,20.84,22.21,23.25,21.67,18.39,13.04,9.88
2012,9.01,8.64,12.75,12.36,17.8,21.36,22.51,23.47,21.27,16.93,12.49,10.48
2013,9.9,9.28,11.69,13.45,15.14,19.77,23.46,23.65,21.74,18.02,12.05,9.62
2014,10.52,9.91,12.3,15.01,17.15,20.43,22.03,22.71,21.68,19.22,13.37,9.66
2015,8.99,9.22,12.07,14.66,18.06,21.73,24.07,23.05,19.9,17.21,13.93,11.82
2016,11.13,10.53,11.05,13.19,16.32,20.88,23.57,23.95,21.7,17.77,12.4,10.66
2017,8.87,11.3,12.66,15.56,18.29,22.06,23.15,23.52,20.92,19.04,12.76,9.72
2018,9.76,9.02,11.16,13.64,16.16,19.97,22.23,24.38,22.54,16.94,12.47,10.87
2019,9.15,10.96,12.93,13.43,17.63,20.17,23.1,23.26,21.4,17.42,12.54,11.03
2020,9.63,12.19,12.61,14.44,18.87,19.86,24.5,23.26,21.4,16.36,13.57,10.22
2021,8.85,11.81,11.94,14.08,16.85,20.38,22.88,23.42,21.48,17.77,11.51,11.75
