year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-5.55,-9.73,-2.67,1.9,5.48,9.86,15.09,13.98,7.65,3.25,-1.4,-3.23
1992,-3.84,-3.48,-1,-0.41,8.98,14.19,13.42,11.89,8.72,-1.16,-3.74,-3.35
1993,-5.39,-4.76,-2.69,1.7,8.73,9.79,13.46,11.29,6.03,1.38,-3.69,-7.31
1994,-9.68,-12.12,-4.01,2.64,6.15,10.48,16.43,13.65,7.94,2.2,-2.48,-3.08
1995,-6.88,-4.23,-2.11,0.37,5.7,12.12,13.43,13.25,8.3,4.86,-4.64,-9.83
1996,-7.62,-10.9,-4.47,1.34,4.98,11.19,12.84,15.2,7.44,4.39,-3.7,-8.46
1997,-6.44,-5.56,-2.39,-0.51,5.54,13.06,16.29,15.6,9.58,1.6,-3.35,-5.65
1998,-5.74,-5.53,-4.54,0.05,6.78,10.88,13.76,11.62,9.17,2.94,-5.49,-6.2
1999,-8.7,-7.74,-3.26,2.69,6.02,12.76,14.71,12.08,11.03,3.85,0.66,-8.15
2000,-5.37,-4.97,-2.96,2.45,8.49,11.09,13.61,12.49,8.47,6.4,1.27,-4.42
2001,-5.61,-9.35,-6.23,1.44,6.88,12.02,15.18,13.17,9.14,5.08,-2.64,-8.1
2002,-7.33,-4.21,-2.61,3.22,9.15,14.24,15.76,15.89,9.12,0.13,-5.73,-9.78
2003,-11.11,-6.68,-1.53,1.24,7.66,12.45,17.07,13.82,9.14,1.55,-1.42,-5.15
2004,-9.27,-6.47,-2.6,3.16,7.66,11.18,14.08,14.3,9.45,3.52,-3.39,-3.99
2005,-4.75,-6.71,-5.66,2.69,6.59,12.01,15.97,13.32,9.59,4.88,-0.19,-6.41
2006,-7.34,-7.98,-7.87,1.9,7.93,12.9,16.03,15.51,10.92,4.28,-0.71,-1.25
2007,-6.49,-9.51,-0.26,3.06,7.47,13.24,14.46,13.67,8.09,4.25,-2.62,-3.16
2008,-4.37,-3.13,-3.58,2.43,7.74,12.44,15.01,12.43,8.07,4.13,-2.07,-4.38
2009,-6.78,-8.84,-3.13,3.12,8.49,11.5,14.69,14.06,9.9,1.34,-0.08,-8.02
2010,-12.27,-11.61,-5.03,2.07,7.34,11.21,16.09,13.22,8.53,3.16,-6.36,-12.35
2011,-8.23,-10.24,-3.28,4.33,7.88,13.83,15.58,13.55,10.35,4.74,1.12,-3.03
2012,-7.6,-8.33,-0.35,0.76,7.26,10.8,13.96,12.83,8.4,2.39,-0.71,-10.03
2013,-8.58,-6.91,-7.33,0.87,9.88,13.3,14.68,13.74,9.59,4.04,-1.28,-2.86
2014,-8.89,-2.43,-0.55,2.94,7.51,11.85,17.23,13.99,9.79,4.5,-1.01,-5.24
2015,-6.83,-4.59,-0.59,2.5,6.48,10.52,13.28,14.41,10.02,3.95,-0.07,-2.72
2016,-10.83,-4.96,-1.67,2.14,9.03,12.55,15.02,12.65,10.75,3.24,-3.19,-3.74
2017,-6.1,-6.06,-2.24,0.7,6.54,12.01,13.81,12.66,9.54,4.07,-2.3,-5.39
2018,-7.32,-9.36,-6.63,2.52,10.56,12.39,17.64,13.94,9.81,3.8,-0.2,-4.68
2019,-8.75,-5.12,-2.9,3.81,6.66,13.32,14.54,13.96,8.71,2.24,-3.38,-3.51
2020,-3.38,-3.89,-2.03,1.9,5.84,15.14,13.45,13.95,9.65,4.88,1.01,-3.08
2021,-9.34,-8.41,-2.06,1.22,6.7,14.43,16.63,12.55,8.96,4.9,-2.08,-8.03
