year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-1.95,-5.92,1.04,6.65,10.01,14.11,20.25,18.68,11.94,6.16,1.4,0.35
1992,-0.25,0.14,2.52,3.46,14.76,20.43,18.3,15.95,12.45,2.17,-0.83,-0.07
1993,-1.81,-1,1.81,6.71,14.37,14.65,17.92,15.27,10.21,4.52,-1.32,-4.02
1994,-5.85,-7.48,0.52,7.1,11.5,15.37,22.52,18.64,11.96,5.47,0.55,-0.03
1995,-3.27,-0.63,1.3,4.65,10.69,16.92,18.57,18.45,12.13,8.2,-1.18,-6.28
1996,-4.29,-6.28,0.24,6.45,9.74,16.11,17.61,20.58,11.87,7.26,-0.52,-4.64
1997,-2.22,-1.78,2.02,4.27,10.38,18.74,22.02,21.17,13.67,4.72,-0.9,-2.55
1998,-2.67,-1.5,-0.06,4.43,11.94,15.3,18.12,15.5,12.85,5.85,-2.87,-2.89
1999,-5.27,-3.83,0.27,7.14,11.25,17.81,19.89,17.22,15.11,6.82,3.43,-4.53
2000,-1.52,-1.08,1.6,6.79,13.66,15.88,18.11,16.99,12.85,8.95,3.35,-1.56
2001,-2.63,-4.91,-1.09,5.89,12,17.33,20.11,17.89,12.68,8.09,0.72,-4.59
2002,-3.37,-0.49,2.25,7.94,14.8,19.69,20.53,21.75,13.69,3.16,-2.85,-6.25
2003,-6.72,-2.09,2.87,6.32,12.77,17.68,22.4,18.52,13.78,5.33,1.31,-1.27
2004,-5.68,-2.01,1.95,8.39,13,16.47,18.94,19.12,13.48,6.56,0.13,-0.14
2005,-1.39,-2.88,-0.14,7.92,11.46,17.19,21.51,18.02,13.96,8.56,2.72,-3.06
2006,-3.8,-3.76,-2.35,6.2,13.34,18.46,21.91,20.61,15.04,7.3,2.11,1.9
2007,-2.35,-5.54,4.29,8.22,12.34,19.05,19.03,18.53,12.17,7.63,0.53,-0.06
2008,-1.25,0.58,0.71,7.15,13.27,17.9,20.55,16.63,12.23,7.33,1.35,-1.24
2009,-3.43,-4.89,0.95,8.26,14.23,16.89,19.38,19.2,14.24,4.82,2.17,-4.57
2010,-8.41,-7.21,-0.13,6.78,12.43,16.57,21.15,17.58,12.98,6.6,-3.16,-8.18
2011,-4.19,-5.8,1.64,9.53,13.06,19.2,20.31,18.23,14.2,8.17,4.12,0.14
2012,-4.14,-3.67,4.16,5.36,12.48,15.59,18.58,17.82,12.56,5.61,2,-6.58
2013,-4.69,-3.15,-1.31,5.85,15.53,18.42,20.27,19.19,14.05,7.68,2.24,0.81
2014,-5.82,0.44,3.66,7.83,12.87,17.15,22.81,18.78,14.29,7.68,1.87,-1.68
2015,-3.07,-0.8,3.62,7.01,11.18,15.59,18.08,19.8,14.03,7.51,2.91,0.98
2016,-6.94,-1.29,2.32,6.34,14.72,17.87,20.01,17.27,14.91,6.04,-0.35,-0.01
2017,-2.37,-2.35,2.2,5.3,11.68,17.17,18.83,17.29,13.03,6.93,0.87,-1.86
2018,-3.63,-5.33,-1.67,7.57,16.71,17.91,23.37,18.81,14.16,7.42,2.57,-1.58
2019,-5.21,-1.02,1.57,9.11,11.79,18.87,19.71,18.72,12.79,5.31,-0.75,-0.37
2020,0.23,0.14,2.37,6.51,11.13,21.03,18.18,19.04,13.94,7.6,3.95,-0.31
2021,-5.81,-4.23,2.34,5.87,11.51,20.05,21.98,17.28,12.78,8.02,1.1,-4.42
